Category: All categories

Region,Car: (4/21/20 - 4/21/21)
Daman and Diu,100
Dadra and Nagar Haveli,98
Goa,91
Karnataka,87
Haryana,86
Tamil Nadu,85
Meghalaya,85
Puducherry,85
Himachal Pradesh,85
Chandigarh,84
Punjab,84
Kerala,82
Andaman and Nicobar Islands,81
Telangana,80
Rajasthan,79
Nagaland,79
Jammu and Kashmir,79
Madhya Pradesh,78
Uttarakhand,78
Chhattisgarh,77
Gujarat,75
Maharashtra,75
Andhra Pradesh,75
Jharkhand,75
Delhi,75
Sikkim,74
Arunachal Pradesh,73
Assam,71
Uttar Pradesh,67
Tripura,62
Odisha,61
Manipur,58
Bihar,56
West Bengal,53
Mizoram,52
Lakshadweep,
