Category: All categories

Region,Automotive industry: (4/21/20 - 4/21/21)
Tamil Nadu,100
Haryana,88
Maharashtra,82
Karnataka,79
Delhi,63
Meghalaya,57
Kerala,52
Andhra Pradesh,51
Gujarat,51
Uttarakhand,48
Telangana,48
Goa,46
Chandigarh,44
Tripura,42
Chhattisgarh,40
Jharkhand,39
Punjab,38
Assam,38
Puducherry,37
Uttar Pradesh,34
West Bengal,34
Odisha,33
Rajasthan,30
Jammu and Kashmir,27
Himachal Pradesh,25
Madhya Pradesh,25
Nagaland,23
Bihar,18
Manipur,11
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
Lakshadweep,
Mizoram,
