Category: All categories

Region,Automotive industry: (4/21/20 - 4/21/21),Car: (4/21/20 - 4/21/21)
Daman and Diu,,100%
Dadra and Nagar Haveli,,100%
Goa,<1%,100%
Karnataka,<1%,100%
Haryana,<1%,100%
Tamil Nadu,<1%,100%
Meghalaya,<1%,100%
Puducherry,<1%,100%
Himachal Pradesh,<1%,100%
Chandigarh,<1%,100%
Punjab,<1%,100%
Kerala,<1%,100%
Andaman and Nicobar Islands,,100%
Telangana,<1%,100%
Rajasthan,<1%,100%
Nagaland,<1%,100%
Jammu and Kashmir,<1%,100%
Madhya Pradesh,<1%,100%
Uttarakhand,<1%,100%
Chhattisgarh,<1%,100%
Gujarat,<1%,100%
Maharashtra,<1%,100%
Andhra Pradesh,<1%,100%
Jharkhand,<1%,100%
Delhi,<1%,100%
Sikkim,,100%
Arunachal Pradesh,,100%
Assam,<1%,100%
Uttar Pradesh,<1%,100%
Tripura,<1%,100%
Odisha,<1%,100%
Manipur,<1%,100%
Bihar,<1%,100%
West Bengal,<1%,100%
Mizoram,,100%
Lakshadweep,,
