Category: All categories

Week,Automotive industry: (India),Car: (India)
2020-04-26,<1,61
2020-05-03,<1,65
2020-05-10,1,69
2020-05-17,<1,76
2020-05-24,<1,80
2020-05-31,<1,82
2020-06-07,<1,90
2020-06-14,<1,88
2020-06-21,<1,91
2020-06-28,<1,91
2020-07-05,<1,89
2020-07-12,<1,88
2020-07-19,<1,90
2020-07-26,<1,88
2020-08-02,<1,89
2020-08-09,<1,92
2020-08-16,<1,94
2020-08-23,<1,94
2020-08-30,<1,94
2020-09-06,<1,93
2020-09-13,<1,91
2020-09-20,<1,92
2020-09-27,<1,88
2020-10-04,<1,86
2020-10-11,<1,88
2020-10-18,<1,88
2020-10-25,<1,89
2020-11-01,<1,87
2020-11-08,<1,88
2020-11-15,<1,100
2020-11-22,<1,94
2020-11-29,<1,91
2020-12-06,<1,93
2020-12-13,<1,96
2020-12-20,<1,98
2020-12-27,<1,91
2021-01-03,<1,91
2021-01-10,<1,92
2021-01-17,<1,91
2021-01-24,<1,93
2021-01-31,<1,94
2021-02-07,<1,87
2021-02-14,<1,89
2021-02-21,<1,91
2021-02-28,<1,86
2021-03-07,<1,86
2021-03-14,<1,82
2021-03-21,<1,79
2021-03-28,<1,86
2021-04-04,<1,78
2021-04-11,<1,74
2021-04-18,<1,74
