,created_at,screen_name,location,text
0,2021-04-21 18:32:40,SubaruWakefield,618 N. Ave Wakefield Ma 01880,Congratulations Elaine &amp; John on your new Forester Sport. Thank you for choosing @SubaruWakefield #Newcar #Subaru… https://t.co/NPUqgEhDWM
1,2021-04-21 18:26:07,ToyotaIowa,"Iowa City, IA","Providing everyday comfort in the 2021 Highlander. ✅

#Toyota #Highlander #comfort #everyday #Wednesday #newcar… https://t.co/LfjKj91Thk"
2,2021-04-21 18:18:42,FinanceAutoSol,"BC & Alberta, Canada","RT @FoundationCDJR: Legendary Performance comes in all shapes and sizes with Dodge.

#dodge #legendary #power #performance #answerthecall #…"
3,2021-04-21 18:08:34,thebrinksco,,The Brinks #CreditTip! #credit #myfico #experience #experian #creditscore #850strong #equifax #creditkarma… https://t.co/jQ7ZKs44xw
4,2021-04-21 18:00:02,RankSuggest,Dublin Ireland,"See this cool car. Please like it, retweet and follow me. #cars #car #newcar https://t.co/GPgH8GY70y"
5,2021-04-21 17:45:07,bertogdenrgv,Rio Grande Valley,#DYK you can get a new car for under $20K? That's right! We have nearly 300 brand new 2020 and 2021 vehicles for UN… https://t.co/nX4GdJUGr3
6,2021-04-21 17:17:20,BuyLagosLtd,"Lagos, Nigeria","Asking Price: 10.2m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +234… https://t.co/qhnWRiWZ2z"
7,2021-04-21 16:37:46,MrsHClifford,"Sheffield, England","When my dad shows up at my house, needing my help to buy a new electric car and not even told my mum yet 🙈🙈 #newcar… https://t.co/6uCprCYfCQ"
8,2021-04-21 16:35:01,Gumtree,United Kingdom,We’ve reviewed the Toyota C-HR. Read it before you start your car search on Gumtree and make an offer… https://t.co/d82i6Ay6d9
9,2021-04-21 16:15:10,JCPinCentreScot,Central Scotland,"Sales Advisor in #EastKilbride with @parksmotorgroup 

Info/Apply: https://t.co/Vc49IomHzM

#LanarkshireJobs… https://t.co/Dzhepd1UFv"
10,2021-04-21 16:10:26,LindopToyota,Wrexham & Queensferry,"Congratulations, Elias Mattar, on collecting your new Toyota Corolla Hybrid.

Thank you for choosing Lindop Toyota!… https://t.co/KVVKqIlhfz"
11,2021-04-21 16:03:34,MarshallCommCU,"Michigan, USA",Miss that new car smell? Come by our Coldwater office this Friday for a free giveaway and a chance to win a $50.00… https://t.co/qCkyJ3pDO6
12,2021-04-21 16:00:32,autodigg,"Austin, TX","Concept EQT electric minivan by Mercedes-Benz https://t.co/he0b6L0pYg
@MercedesBenzATX #EVs #electriccars #usedcars… https://t.co/AAki9XQlfu"
13,2021-04-21 16:00:02,RankSuggest,Dublin Ireland,"This is one of my favourites. Please like it, retweet and follow me. #cars #car #newcar https://t.co/NEb9OfLY44"
14,2021-04-21 15:30:02,leo_pitre,"Thibodaux, LA","Personality vs. Pocketbook: Should you lease, finance, or pay cash for your next car? #NewCar https://t.co/wYYFcfpr2c"
15,2021-04-21 15:15:04,SaveOnSahara,Las Vegas,"2021 Dodge Charger SXT
Must See : Click Here : https://t.co/T9mkLAga4q
#lasvegas #vegas #sales #nevada #newcar… https://t.co/jAGdSghR5M"
16,2021-04-21 15:01:22,MountAiryCDJR,"Mount Airy, NC, US, 27030","The New Wrangler is HERE!  Learn More about its Capability, Drive Train, and Incentives at Mount Airy Chrysler Dodg… https://t.co/gOBSbVJYAW"
17,2021-04-21 15:00:59,DCHGardenaHonda,"Gardena, CA","Getting there is about to be a lot more fun. The 2022 Honda Civic Sedan is coming soon!

#Honda #gardenahonda… https://t.co/ZXuKTjkyEc"
18,2021-04-21 14:51:36,BuyLagosLtd,"Lagos, Nigeria","Asking Price: 4.1m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +2347… https://t.co/dIp5sahj9F"
19,2021-04-21 14:47:02,StoneacreMotors,Nationwide,"New 2022 @NissanUK X-Trail!

Nissan has unveiled the new X-Trail set to arrive in Europe next year! 

Find out more… https://t.co/ZQZpPIcQh1"
20,2021-04-21 14:45:06,gracepatalano,"Peekskill, NY","Thank Fr. Esteban, for blessing my new car after this morning’s mass at Assumption Church in @peekskillcity… https://t.co/p54vNVfW6X"
21,2021-04-21 14:39:35,NorthlandCJDR,"Oak Park, MI","RAM is America's most ♥️ truck.

https://t.co/QblupG5zts ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
 #ram #hemi #Ram1500 #charger #hellcat… https://t.co/gjQSSgA7CD"
