,created_at,screen_name,location,text
0,2021-05-04 11:00:09,chippmotor,"Chippenham, England","Long periods of sitting on the drive, and reduced mileage can take its toll on your #car. Get peace of mind that yo… https://t.co/kEsakTAr39"
1,2021-05-04 08:34:13,LifestyleAsiaIn,Mumbai ,"To help save you #time and #money on car maintenance, we’ve penned a few easy pointers on how to maintain your #car… https://t.co/QKRbchT4hg"
2,2021-05-03 11:45:11,Money9Live,,#Lockdown | @JayaJournalist brings you some tips and tricks to make sure that your #car stays in proper working con… https://t.co/pjdXiXn3GZ
3,2021-05-02 21:24:04,GreenfordBlog,"Greenford, L B of Ealing, UK","📷 Sign for Sudbury Hill, Horsenden Lane North, Greenford, London Borough of Ealing, London, UK, May 2021. #sign… https://t.co/NIV0q7F05t"
4,2021-04-29 18:20:00,SOGOmobility,United Kingdom,"32% of British #motorists use their #car less than they did two years ago according to new research.

That's an exp… https://t.co/WrL6muwzqM"
5,2021-04-29 11:14:18,sknnaturalgas,,Limit the number of passengers &amp; ride to work with the same people. Avoid carpooling with people who otherwise woul… https://t.co/IXVTuWpEEz
6,2021-04-28 22:24:09,HandRentals,,"RT @Rentorama1: #Car #carrental #rent #rental #london #drinkresponsibly #alcohol #lockdown #rentcar

KW:​​birmingham roadtrip cars rent ren…"
7,2021-04-28 17:00:03,ReviewSpotUK,"Hereford, England",I have owned a car of one make or another for forty eight years without a break. #Lockdown #Friends #Family #Car https://t.co/xnxwUEFI33
8,2021-04-28 09:19:38,AMchatter,"Bauer Media, Peterborough",RT @Sharpe_Tom: More than two-thirds (71%) of #car #showroom visitors feel they are safer than the #supermarkets that were allowed to remai…
9,2021-04-28 09:19:31,Sharpe_Tom,"Rotherham and Peterborough, UK",More than two-thirds (71%) of #car #showroom visitors feel they are safer than the #supermarkets that were allowed… https://t.co/MYIl5BrA1d
10,2021-04-28 05:51:48,iSampoorna,,"World Day For Safety And Health At Work.
#quality #mask #follow #hygiene #besafe #a #instagood #gloves #india #car… https://t.co/wCdNMhx5S6"
11,2021-04-28 05:22:40,colordroponline,"Indore, India","World Day For Safety And Health At Work.
#quality #mask #follow #hygiene #besafe #a #instagood #gloves #india #car… https://t.co/lIqYpLsp0c"
