,created_at,screen_name,location,text
0,2021-05-05 01:00:00,japan_oz,日本,"Legendary history of 50 years
1972 Historical O・Z logo

#ozracing #ozwheels #oz #wheels #racing #car #drive… https://t.co/05Y2ROqG8H"
1,2021-05-04 23:00:04,asa_tire,,Each of ASA's POS solutions include software integrations with tire brands from several mainstream manufacturers li… https://t.co/y8LOXT4bmV
2,2021-05-03 23:11:23,asa_tire,,"If you focus on the positive, all you'll see is the positive. Choose to keep looking ahead and pursuing your goal -… https://t.co/tNaJG7CUSb"
3,2021-05-03 10:12:52,JLowPhotos,"Widnes, England",A classic french car which was parked up on the shore line in Courseulles-sur-Mer in June 2014.  #French #Classic… https://t.co/0Yw0aJLFgo
4,2021-05-01 20:02:21,DazzLov3,,That Time They Got You Covered 🙏🏻😘  ~ Waitin’ On Mechanic Moves @ The Auto Shop  ~ It’s a Sign #thankyou  #auto… https://t.co/PW8fzb6aLG
5,2021-05-01 10:48:42,worth_car,vij,"A man is not paid for having a head and hands. But he is paid for using them. Happy May Day

#mayday #work #labour… https://t.co/MGx0ZDUtzj"
6,2021-05-01 01:21:53,JLowPhotos,"Widnes, England",A classic french car which was parked up on the shore line in Courseulles-sur-Mer in June 2014.  #French #Classic… https://t.co/E8CkqQwjvd
7,2021-04-30 08:40:54,8RokfBXfb2pjEdu,Shanghai,"Custom 2 piece forged wheels for customers!Perfect!
whatsapp：+8613621671181
#wheels #car #rims #forgedwheels #tyre… https://t.co/ihFrHvf6kL"
8,2021-04-28 08:00:00,vertigowheel,,"Vertigo where the elegant, the stylish, and the unique meet.

Contact Now!

https://t.co/eItHuD5v3U… https://t.co/YQtdh1sWCu"
9,2021-04-27 21:52:52,Annette_Sorne,"Tallahassee, Florida","RT @TruckNCarConcep: Sky's the limit!
📸 : LFTD X LVLD
#truck #upgrade #lift #wheels #tires #suspension #accessories #car #theskyisthelimit…"
10,2021-04-27 21:31:19,TruckNCarConcep,"Tallahassee, Florida","Sky's the limit!
📸 : LFTD X LVLD
#truck #upgrade #lift #wheels #tires #suspension #accessories #car… https://t.co/DFfHG7LCkH"
11,2021-04-27 14:38:42,prem_wheels_rep,"Redhill, South East","Ray's Engineering wheels refurbished in a Satin Bronze, the customer supplied the decals which we applied and lacqu… https://t.co/NaxMN0JMEu"
12,2021-05-05 06:18:19,trscasings,North West England,"All Roads Lead to TRS!!!! (Well they should!)

For more information on how we can help your business to save money… https://t.co/VYjKxxZb9n"
13,2021-05-05 06:16:24,MaziOlayinkaDan,"Abeokuta, Nigeria","RT @elite_wheel: Remember to carryout the morning parade, a daily first check on your vehicle before you MOVE. Check your #water, #oils, #f…"
14,2021-05-05 06:09:36,GainstarAutos,"Lekki, Nigeria","RT @elite_wheel: ✔ Routinely check #tyre tread.

✔ Adjust tyre pressure as needed.

✔ Know when tyres are repairable.

✔ Invest in tyre #ro…"
15,2021-05-05 06:08:42,GainstarAutos,"Lekki, Nigeria","RT @elite_wheel: Remember to carryout the morning parade, a daily first check on your vehicle before you MOVE. Check your #water, #oils, #f…"
16,2021-05-05 05:57:53,prinzgbemi,...,"RT @elite_wheel: Remember to carryout the morning parade, a daily first check on your vehicle before you MOVE. Check your #water, #oils, #f…"
17,2021-05-05 05:54:46,elite_wheel,"Lagos, Nigeria","Remember to carryout the morning parade, a daily first check on your vehicle before you MOVE. Check your #water,… https://t.co/DGulHeUugN"
18,2021-05-05 04:03:43,KudmiRohit,"धानबाईद ,झाड़खंड","RT @rimagined: At @rimagined, we upcycle used tyre tubes to create products such as bags, purses, lights, and many more that are trendy and…"
19,2021-05-05 03:42:57,MaziOlayinkaDan,"Abeokuta, Nigeria","RT @elite_wheel: ✔ Routinely check #tyre tread.

✔ Adjust tyre pressure as needed.

✔ Know when tyres are repairable.

✔ Invest in tyre #ro…"
20,2021-05-04 20:26:35,prinzgbemi,...,"RT @elite_wheel: ✔ Routinely check #tyre tread.

✔ Adjust tyre pressure as needed.

✔ Know when tyres are repairable.

✔ Invest in tyre #ro…"
21,2021-05-04 20:22:41,elite_wheel,"Lagos, Nigeria","✔ Routinely check #tyre tread.

✔ Adjust tyre pressure as needed.

✔ Know when tyres are repairable.

✔ Invest in t… https://t.co/rvdEn3DzZZ"
22,2021-05-04 20:01:01,DavidWhinray,🌍Pale Blue Dot🌍,"RT @JJdomains: #Porsche's $91,000 #TaycanCrossTurismo #EV will arrive in the #USA this summer

https://t.co/yKXDuFI6nC

Coincidentally
Curr…"
23,2021-05-04 20:00:50,JJdomains,,"#Porsche's $91,000 #TaycanCrossTurismo #EV will arrive in the #USA this summer

https://t.co/yKXDuFI6nC

Coincident… https://t.co/3Z0VH2L3Af"
24,2021-05-04 18:38:55,adamsofficial_,"North-west, Nigeria","RT @elite_wheel: We offer the largest range of #cheap #tyres online. Each week, our staff check up to 400 tyre prices with our competitors…"
25,2021-05-04 18:29:58,AMKGATWICK,"Crawley, West Sussex","Check if you’re at risk of £1,000 fine as 2 million motorists could be hit after Covid MOT extensions

Just type in… https://t.co/D5H6IVeEC8"
26,2021-05-04 18:16:49,elite_wheel,"Lagos, Nigeria","We offer the largest range of #cheap #tyres online. Each week, our staff check up to 400 tyre prices with our compe… https://t.co/dlxpriYo7J"
27,2021-05-04 16:15:00,CommercialTyreB,"Crewe, England","ELECTRIC BUSES: @Michelin X Incity EV Z Tyre, first MICHELIN Range Specifically Designed for Electric Buses… https://t.co/fEanZOWiMG"
28,2021-05-04 16:00:00,RetreadBusiness,Crewe,"BUSINESS: @marangonigroup Announce Further Price Increases from June

https://t.co/Hg2ZcqMsLE

#Tyres… https://t.co/SC6zFyjNWG"
29,2021-05-04 15:36:16,CommunityAd,"Margate, England","This spring has seen every weather possible, so make sure that your tyres are in the best condition for your journe… https://t.co/LloggwJ5RO"
30,2021-05-04 14:33:50,MRKingAndSons,East Anglia,Spread the word: Blue Light Card discount! From the 1st May until the 31st May we will be thanking the emergency se… https://t.co/NCmcY7g6sh
31,2021-05-04 14:33:13,asiimwedel,,"RT @UgandaRoadFund: 📌RoadSafetyug hack

👉Don't overload and you will arrive safely with #tyres in a good condition. https://t.co/4HaUuAVXSe"
32,2021-05-04 14:00:01,RetreadBusiness,Crewe,"💡TIP 1💡 Use Durable Packaging 📦 

Ensure cushion gum is packed using well-insulated carton with ventilation holes t… https://t.co/JOeIx80wrf"
33,2021-05-04 13:03:43,MaziOlayinkaDan,"Abeokuta, Nigeria","RT @elite_wheel: Don’t be too fast to drive over a puddle. You may see it as harmless or washing the underbody or even a bit of fun, but yo…"
34,2021-05-04 13:03:21,MaziOlayinkaDan,"Abeokuta, Nigeria",RT @elite_wheel: Thinking of replacing your vehicle's tyres? We supply #tyres to suit your needs and  budget. #AllNew #AllBrands #AllSizes…
35,2021-05-04 13:00:02,RetreadBusiness,Crewe,RECIRCLE AWARDS: The Best Retreading Equipment &amp; Accessory Supplier went to @VipalRubberCorp at this year's Recircl… https://t.co/3yP7IgpzJB
36,2021-05-04 12:57:06,viking_tyres,,We have been wholesaling #tyres and tyre consumables for over 40 years and with 7 strategically located warehouses… https://t.co/gkyAKGkdj8
37,2021-05-04 12:52:14,mycarsfirst,"C/ Ogoño Nº 1, Planta 3. Ofi 9","HOW TO CHECK THE CONDITION OF YOUR #TYRES

https://t.co/MptvkqJgs1

#MyCarsFirst #CarCare #DetailingEurope… https://t.co/fBSwQB290x"
38,2021-05-04 12:26:00,CommercialTyreB,"Crewe, England","E-NEWSLETTER: 🤓Our newest e-bulletin includes Part 4 of our agricultural feature, as well as commercial vehicle mar… https://t.co/Nq2iCU8dnl"
39,2021-05-04 12:05:17,TireTechMag,"Dorking, Surrey","NEW TIRES: #Continental announces WinterContact TS 870 and WinterContact TS 870 P

@Conti_Press #tires #tyres… https://t.co/Ae7H4mFu7F"
40,2021-05-04 11:23:40,VelorimL,United Kingdom,"NORTHERN IRELAND BICYCLE TYRE RECYCLING HUB!  But, Where is it??

Our Northern Ireland Bicycle tyre recycling hub w… https://t.co/rUBc35ED2R"
41,2021-05-04 11:19:26,TireTechMag,"Dorking, Surrey","NEW TIRES: @goodyear_uk introduces next-gen tires for #container handlers

#tires #tyres #Goodyear # https://t.co/Rg3gz0P9mH"
42,2021-05-04 11:04:42,Noble30879886,,"RT @UgandaRoadFund: 📌RoadSafetyug hack

👉Don't overload and you will arrive safely with #tyres in a good condition. https://t.co/4HaUuAVXSe"
43,2021-05-04 11:00:41,WarmheatU,"Oldham, England","RT @allaboutoldham: ""I’d always recommend these guys, they never let me down and my car is always ready when they say it will be, top servi…"
44,2021-05-04 10:56:47,UgandaRoadFund,"5th Floor, Twed Towers,Plot 10","📌RoadSafetyug hack

👉Don't overload and you will arrive safely with #tyres in a good condition. https://t.co/4HaUuAVXSe"
45,2021-05-04 10:54:36,GiggsAlvarez,Belgium,"RT @theRaceBox: I @MGTires to supply tyres for all 2021 @fiakarting Championships, Cups &amp; Trophies

&gt;&gt; https://t.co/Nde0gZHHNi

#FiaKarting…"
46,2021-05-04 10:00:01,The_Tyreman,Malaysia,"Find out about new development from @apollotyres , @YRC_Global  following with another great update from… https://t.co/VGwLtRwimB"
47,2021-05-04 09:00:56,StroodT,"Strood,Kent ME2 2 BJ .UK","This May save money at Strood Tyre Company with our amazing Deals on tyres ,vehicle parts &amp; vehicle repairs
Visit u… https://t.co/Fo2rnv9Ofz"
