,created_at,screen_name,location,text
0,2021-05-04 22:10:17,RiversideCollis,"Provo, UT",Riverside Collision let us do the job right the first time every time #collisionrepair #autobody #autorepair… https://t.co/vvMqS5BU1v
1,2021-05-04 21:53:24,RiversideCollis,"Provo, UT",Riverside Collision Repair since 1988! https://t.co/nNQaEBBU8g #collisionrepair #autobody #autorepair #autoglass… https://t.co/g4FxMQWmya
2,2021-05-04 17:30:14,MyTitanGlass,"Woburn, MA","Don't have #insurance coverage for your #windshield replacement? We'll help you set up a payment plan, while still… https://t.co/k6lrGtPs5M"
3,2021-05-04 15:46:05,NOVUSGlobal,Located Worldwide,NOVUS Glass Chatham scales new heights as owner Pam Kacan is keen to expand her family’s glass repair business beyo… https://t.co/J6VvRN2esx
4,2021-05-04 15:09:08,_RainbowMuffler,Cleveland,"#CarTipTuesday: If your windshield has a star or chip, make sure to get it repaired as soon as possible to prevent… https://t.co/wTNj9zrnNL"
5,2021-05-04 14:01:26,BuggiesU,,"For all of your windshield needs, we’ve got you covered. 

#buggiesunlimited #buggiesnation #yamahagolfcar #golfcar… https://t.co/fzo7gImuvc"
6,2021-05-04 12:03:04,MIRASCON_Insure,,"While April showers bring May flowers, it doesn’t make driving easy! Windshield wipers are a crucial part of making… https://t.co/4AwhnFGBJU"
7,2021-05-03 20:03:03,NOVUSGlobal,Located Worldwide,"Fix Network welcomes Darren Hewitt and Patrick Schaffner new owners of NOVUS Glass London Northeast, in Ontario, Ca… https://t.co/oFwNPIfZED"
8,2021-05-03 18:09:03,MyTitanGlass,"Woburn, MA",Titan Auto Glass proudly offers free #rust and rot #repair with every #windshield replacement - call us today at 87… https://t.co/gMGEJ3eWx9
9,2021-05-03 17:51:01,nissan_33,"Hamilton Square, NJ",See the road ahead clearly with new wiper blades. Come to the Parts Department at Route 33 Nissan and save 20%. Cli… https://t.co/Eavrzh4sUH
10,2021-05-03 17:49:02,Route46Subaru,"Hackettstown, NJ","Save 10% off when you purchase 3 wiper blades from our parts department. Click
https://t.co/V8sShViX09
.
.… https://t.co/JNxVRz915E"
